last_updated,temp_c,temp_f,is_day,condition_text,condition_code,name,country,region,date,date_epoch,day_maxtemp_c,day_maxtemp_f,day_mintemp_c,day_mintemp_f,day_avgtemp_c,day_avgtemp_f,day_maxwind_mph,day_maxwind_kph,day_totalprecip_mm,day_totalprecip_in,day_totalsnow_cm,day_avgvis_km,day_avgvis_miles,day_avghumidity,day_daily_will_it_rain,day_daily_chance_of_rain,day_daily_will_it_snow,day_daily_chance_of_snow,day_condition_text,day_condition_code,day_uv,forecasted_celsius_diff,forecasted_fahrenheit_diff
2024-10-07 09:00,28.2,82.8,1,PARTLY CLOUDY,1003,PHUKET,THAILAND,PHUKET,2024-10-07,1728259200,28.2,82.7,25.3,77.6,26.7,80.1,11.6,18.7,4.56,0.18,0.0,9.3,5.0,80,1,88,0,0,PATCHY RAIN NEARBY,1063,11.0,-1.5,-2.700000000000003
2024-10-07 09:00,28.2,82.8,1,PARTLY CLOUDY,1003,PHUKET,THAILAND,PHUKET,2024-10-08,1728345600,29.0,84.2,25.4,77.8,27.3,81.1,6.9,11.2,9.62,0.38,0.0,9.7,6.0,78,1,88,0,0,MODERATE RAIN,1189,11.0,-0.8999999999999986,-1.7000000000000028
2024-10-07 09:00,28.2,82.8,1,PARTLY CLOUDY,1003,PHUKET,THAILAND,PHUKET,2024-10-09,1728432000,28.9,84.0,26.3,79.4,27.6,81.7,6.0,9.7,1.3,0.05,0.0,9.8,6.0,73,1,88,0,0,PATCHY RAIN NEARBY,1063,11.0,-0.5999999999999979,-1.0999999999999943
2024-10-07 09:00,0.0,84.7,1,PARTLY CLOUDY,1003,BANGKOK,THAILAND,KRUNG THEP,2024-10-07,1728259200,32.9,91.2,25.5,78.0,28.7,83.7,6.7,10.8,1.09,0.04,0.0,10.0,6.0,72,1,86,0,0,PATCHY RAIN NEARBY,1063,10.0,28.7,-1.0
2024-10-07 09:00,0.0,84.7,1,PARTLY CLOUDY,1003,BANGKOK,THAILAND,KRUNG THEP,2024-10-08,1728345600,32.2,89.9,25.7,78.2,28.7,83.7,7.2,11.5,7.81,0.31,0.0,9.8,6.0,71,1,89,0,0,MODERATE RAIN,1189,9.0,28.7,-1.0
2024-10-07 09:00,0.0,84.7,1,PARTLY CLOUDY,1003,BANGKOK,THAILAND,KRUNG THEP,2024-10-09,1728432000,30.9,87.7,25.8,78.5,27.7,81.9,6.5,10.4,26.8,1.06,0.0,9.4,5.0,79,1,87,0,0,HEAVY RAIN,1195,9.0,27.7,-2.799999999999997
2024-10-07 08:45,26.9,80.5,1,PATCHY RAIN NEARBY,1063,PATTAYA,THAILAND,CHON BURI,2024-10-07,1728259200,30.6,87.1,25.9,78.7,28.1,82.6,9.2,14.8,7.34,0.29,0.0,9.6,5.0,75,1,96,0,0,MODERATE RAIN,1189,10.0,1.2000000000000028,2.0999999999999943
2024-10-07 08:45,26.9,80.5,1,PATCHY RAIN NEARBY,1063,PATTAYA,THAILAND,CHON BURI,2024-10-08,1728345600,29.8,85.6,25.3,77.5,27.6,81.6,9.8,15.8,27.37,1.08,0.0,9.0,5.0,79,1,87,0,0,HEAVY RAIN,1195,10.0,0.7000000000000028,1.0999999999999943
2024-10-07 08:45,26.9,80.5,1,PATCHY RAIN NEARBY,1063,PATTAYA,THAILAND,CHON BURI,2024-10-09,1728432000,29.7,85.5,25.7,78.2,27.5,81.6,5.8,9.4,2.92,0.12,0.0,9.9,6.0,77,1,89,0,0,PATCHY RAIN NEARBY,1063,11.0,0.6000000000000014,1.0999999999999943
2024-10-07 09:00,25.4,77.7,1,PARTLY CLOUDY,1003,HAT YAI,THAILAND,SONGKHLA,2024-10-07,1728259200,28.2,82.8,23.2,73.8,25.3,77.6,6.7,10.8,7.48,0.29,0.0,8.5,5.0,87,1,87,0,0,MODERATE RAIN,1189,8.0,-0.09999999999999787,-0.10000000000000853
2024-10-07 09:00,25.4,77.7,1,PARTLY CLOUDY,1003,HAT YAI,THAILAND,SONGKHLA,2024-10-08,1728345600,31.2,88.2,23.5,74.2,26.7,80.0,5.6,9.0,8.64,0.34,0.0,9.6,5.0,81,1,88,0,0,MODERATE RAIN,1189,11.0,1.3000000000000007,2.299999999999997
2024-10-07 09:00,25.4,77.7,1,PARTLY CLOUDY,1003,HAT YAI,THAILAND,SONGKHLA,2024-10-09,1728432000,31.4,88.4,23.8,74.9,26.6,79.9,3.6,5.8,13.12,0.52,0.0,9.4,5.0,81,1,87,0,0,MODERATE RAIN,1189,11.0,1.2000000000000028,2.200000000000003
2024-10-07 09:00,26.2,79.2,1,LIGHT RAIN,1183,CHIANG MAI,THAILAND,CHIANG MAI,2024-10-07,1728259200,31.1,88.0,20.7,69.3,25.0,76.9,2.7,4.3,4.79,0.19,0.0,7.3,4.0,84,1,89,0,0,PATCHY RAIN NEARBY,1063,10.0,-1.1999999999999993,-2.299999999999997
2024-10-07 09:00,26.2,79.2,1,LIGHT RAIN,1183,CHIANG MAI,THAILAND,CHIANG MAI,2024-10-08,1728345600,31.7,89.1,20.5,68.8,24.9,76.8,4.3,6.8,2.39,0.09,0.0,7.9,4.0,83,1,88,0,0,PATCHY RAIN NEARBY,1063,10.0,-1.3000000000000007,-2.4000000000000057
2024-10-07 09:00,26.2,79.2,1,LIGHT RAIN,1183,CHIANG MAI,THAILAND,CHIANG MAI,2024-10-09,1728432000,31.6,88.9,20.6,69.2,24.8,76.6,3.8,6.1,5.19,0.2,0.0,6.7,4.0,85,1,89,0,0,MODERATE RAIN,1189,10.0,-1.3999999999999986,-2.6000000000000085
